AuctionID,Category,Duration,OpenPrice,ClosePrice,endDay
7,Automotive,5,9.99,197.5,Sat
21,Automotive,7,25,91,Sat
23,Automotive,5,50,170.5,Tue
25,Automotive,5,1,70,Mon
39,Automotive,3,4,29.5,Sat
40,Automotive,3,9.99,13,Sat
41,Automotive,3,9.99,9.99,Sat
46,Automotive,10,1.23,1.23,Wed
52,Automotive,5,24.99,43,Mon
53,Automotive,1,5,300,Fri
57,Automotive,7,10,91,Fri
99,Automotive,7,1.229720818,55.94000001,Sat
105,Automotive,5,9.99,48,Mon
108,Automotive,7,12.47548572,18.74,Thu
115,Automotive,3,290,290,Fri
134,Automotive,7,1.229655517,49.26000001,Sun
139,Automotive,5,28.99,28.99,Mon
141,Automotive,5,1,1,Sun
154,Automotive,7,35,104.49,Sat
161,Automotive,7,85,85,Tue
162,Automotive,5,115,115,Sun
163,Automotive,5,95,95,Mon
164,Automotive,5,89.95,89.95,Mon
165,Automotive,3,89.95,89.95,Fri
175,Automotive,7,1.22970297,124.2,Thu
176,Automotive,10,1.229745949,122.95,Sun
226,Automotive,5,9.95,17.55,Sun
246,Automotive,10,1.229712192,161.08,Sun
261,Automotive,3,24.95,24.95,Fri
262,Automotive,3,9.95,9.95,Fri
263,Automotive,3,7.95,7.95,Fri
264,Automotive,3,6.95,6.95,Fri
265,Automotive,3,6.95,6.95,Fri
266,Automotive,5,49.95,49.95,Sun
267,Automotive,5,32.95,32.95,Sun
268,Automotive,3,11.95,11.95,Sat
272,Automotive,1,31,31,Fri
273,Automotive,5,1,199,Mon
303,Automotive,7,1.22974359,191.84,Mon
304,Automotive,7,1.229712323,85.92000001,Mon
305,Automotive,7,9,52,Mon
309,Automotive,7,9.99,15.5,Fri
310,Automotive,10,1.229230769,7.989999999,Wed
311,Automotive,10,1.230357143,6.890000001,Tue
312,Automotive,10,1.229617304,7.389999997,Thu
313,Automotive,10,1.229230769,7.989999999,Sat
314,Automotive,10,1.23,8.61,Mon
315,Automotive,10,1.230359521,9.240000003,Fri
320,Automotive,10,11.06772152,97.14999997,Tue
342,Automotive,5,5,26,Sat
373,Automotive,5,44.95,66.77,Sun
374,Automotive,5,44.95,61,Sun
375,Automotive,5,47.5,47.5,Sun
376,Automotive,5,47.5,47.5,Sun
377,Automotive,5,44.95,44.95,Sun
378,Automotive,5,44.95,44.95,Sun
379,Automotive,5,39.95,39.95,Sun
380,Automotive,5,39.95,39.95,Sun
381,Automotive,5,34.95,34.95,Sun
