AuctionID,Category,Duration,OpenPrice,ClosePrice,endDay
1,Collectibles,5,0.01,112.52,Tue
2,Collectibles,5,0.01,61.05,Tue
3,Collectibles,5,0.01,52.02,Tue
4,Collectibles,5,0.01,46.02,Tue
5,Collectibles,5,0.01,26,Tue
6,Collectibles,5,0.01,20.7,Tue
7,Automotive,5,9.99,197.5,Sat
9,Collectibles,5,0.01,188.33,Fri
10,Collectibles,5,0.01,43,Fri
11,Collectibles,5,0.01,23.65,Fri
12,Collectibles,5,0.01,22,Fri
16,Collectibles,5,19.99,77,Sun
18,Music/Movie/Game,3,36.89000001,36.89000001,Sat
21,Automotive,7,25,91,Sat
23,Automotive,5,50,170.5,Tue
25,Automotive,5,1,70,Mon
29,Music/Movie/Game,7,1.766933129,23.22,Thu
30,Music/Movie/Game,7,1.766914286,18.74,Thu
31,Music/Movie/Game,7,1.76697931,12.94,Thu
32,Music/Movie/Game,7,1.7676,9.819999998,Thu
33,Music/Movie/Game,7,1.767255319,8.39,Thu
34,Collectibles,7,10.70758928,31.97999999,Thu
35,Collectibles,7,2.678181818,9.819999998,Thu
36,Collectibles,7,7.14,7.14,Thu
37,Home/Garden,10,6.15,18.45,Sun
38,Clothing/Accessories,10,1.229333333,9.219999998,Sun
39,Automotive,3,4,29.5,Sat
40,Automotive,3,9.99,13,Sat
41,Automotive,3,9.99,9.99,Sat
43,Collectibles,10,1.22970297,124.2,Sat
44,Collectibles,5,0.99,103.55,Mon
46,Automotive,10,1.23,1.23,Wed
48,Clothing/Accessories,7,2.45,2.45,Sat
50,Music/Movie/Game,7,10,26,Fri
51,Home/Garden,7,0.017846154,11.6,Thu
52,Automotive,5,24.99,43,Mon
53,Automotive,1,5,300,Fri
57,Automotive,7,10,91,Fri
58,Clothing/Accessories,3,1.229655172,17.82999999,Thu
59,Clothing/Accessories,3,11.06666667,49.80000002,Sat
60,Clothing/Accessories,5,1.22962963,49.80000002,Mon
62,Clothing/Accessories,7,1.23,1.23,Thu
63,Clothing/Accessories,10,1.23,3.69,Sun
64,Clothing/Accessories,10,1.23,3.69,Sun
65,Clothing/Accessories,7,1.229638554,51.02999999,Fri
66,Music/Movie/Game,3,7.99,7.99,Sat
67,Music/Movie/Game,3,7.99,7.99,Sat
68,Music/Movie/Game,3,7.99,7.99,Sat
69,Music/Movie/Game,3,6.99,6.99,Sat
70,Music/Movie/Game,3,4.99,4.99,Sat
72,Home/Garden,7,3.551384616,17.4,Thu
73,Home/Garden,7,1.766009501,7.51,Thu
74,Home/Garden,7,1.767857143,7.500000001,Thu
75,Home/Garden,7,1.76653125,5.71,Thu
76,Home/Garden,7,1.76653125,5.71,Thu
77,Home/Garden,7,1.7655,5.349999999,Thu
78,Home/Garden,7,1.766769231,4.640000001,Thu
79,Home/Garden,7,1.7655,4.279999999,Thu
80,Home/Garden,7,1.7655,4.279999999,Thu
81,Home/Garden,7,1.764977376,3.94,Thu
82,Home/Garden,7,1.767857143,3.750000001,Thu
83,Home/Garden,7,1.766368421,3.389999999,Thu
84,Home/Garden,7,1.765028572,3.12,Thu
85,Home/Garden,7,1.764529412,3.03,Thu
86,Home/Garden,7,1.769112427,3.020000001,Thu
87,Home/Garden,7,1.769625,2.86,Thu
88,Home/Garden,7,1.766875,2.57,Thu
89,Home/Garden,7,1.7655,2.14,Thu
90,Home/Garden,10,1.23,1.23,Tue
91,Home/Garden,5,1.228888889,5.530000001,Sat
92,Home/Garden,7,1.229672131,75.00999999,Fri
96,Music/Movie/Game,7,0.894230769,1.86,Thu
97,Home/Garden,7,1.229649239,18.58,Thu
99,Automotive,7,1.229720818,55.94000001,Sat
102,Collectibles,3,5.99,5.99,Sun
103,Clothing/Accessories,7,1.767333333,4.82,Thu
104,Collectibles,7,3.99,11.5,Sat
105,Automotive,5,9.99,48,Mon
107,Collectibles,7,1.784490961,37.51,Thu
108,Automotive,7,12.47548572,18.74,Thu
110,Collectibles,7,1.784029038,9.829999999,Thu
113,Home/Garden,10,1.229752066,59.51999999,Tue
114,Collectibles,10,1.229686791,54.18000001,Tue
115,Automotive,3,290,290,Fri
116,Home/Garden,10,9.838048784,25.21000001,Fri
117,Home/Garden,10,9.838048784,25.21000001,Fri
118,Home/Garden,10,1.23,1.23,Fri
119,Music/Movie/Game,7,2.45,2.45,Thu
120,Music/Movie/Game,7,1.228,3.07,Mon
121,Music/Movie/Game,7,1.829999999,1.829999999,Mon
123,Music/Movie/Game,7,1.23,1.23,Mon
124,Music/Movie/Game,7,4.443692309,11.6,Thu
125,Music/Movie/Game,7,4.442336282,10.08,Thu
126,Music/Movie/Game,7,4.444914894,8.39,Thu
127,Music/Movie/Game,7,4.44309375,5.71,Thu
128,Music/Movie/Game,7,4.445813149,5.16,Thu
129,Music/Movie/Game,7,4.443122676,4.8,Thu
130,Music/Movie/Game,7,4.44,4.44,Thu
131,Music/Movie/Game,7,4.44,4.44,Thu
134,Automotive,7,1.229655517,49.26000001,Sun
137,Collectibles,1,9.99,31.01,Fri
139,Automotive,5,28.99,28.99,Mon
141,Automotive,5,1,1,Sun
143,Home/Garden,7,1.229677419,57.17999998,Tue
144,Music/Movie/Game,7,1.76715,14.28,Thu
145,Music/Movie/Game,7,1.766769231,11.6,Thu
146,Music/Movie/Game,7,1.7685,3.929999999,Thu
147,Clothing/Accessories,7,1.766914286,74.96000001,Thu
148,Music/Movie/Game,7,5,37,Tue
149,Music/Movie/Game,7,3,6.5,Tue
150,Music/Movie/Game,7,2.46,2.46,Sun
151,Music/Movie/Game,5,9.99,9.99,Sun
152,Music/Movie/Game,5,8.99,8.99,Sun
153,Music/Movie/Game,5,8.99,8.99,Sun
154,Automotive,7,35,104.49,Sat
155,Music/Movie/Game,5,8.99,45.44,Mon
156,Music/Movie/Game,5,8.99,22.76,Mon
158,Clothing/Accessories,7,6.140000001,6.140000001,Thu
159,Clothing/Accessories,7,6.140000001,6.140000001,Thu
160,Clothing/Accessories,7,4.91,4.91,Fri
161,Automotive,7,85,85,Tue
162,Automotive,5,115,115,Sun
163,Automotive,5,95,95,Mon
164,Automotive,5,89.95,89.95,Mon
165,Automotive,3,89.95,89.95,Fri
169,Music/Movie/Game,7,1.77,1.77,Thu
171,Home/Garden,7,2.459744586,22.15,Fri
172,Home/Garden,7,11.06730066,16.81,Fri
173,Home/Garden,7,11.06571429,12.91000001,Fri
174,Clothing/Accessories,3,8.490000003,8.490000003,Thu
175,Automotive,7,1.22970297,124.2,Thu
176,Automotive,10,1.229745949,122.95,Sun
177,Clothing/Accessories,7,12.17526315,49.06999998,Wed
178,Clothing/Accessories,7,12.17526315,49.06999998,Wed
179,Clothing/Accessories,7,12.17468227,36.76999999,Wed
180,Clothing/Accessories,7,12.1749375,118.06,Tue
181,Clothing/Accessories,7,12.17489362,98.26,Tue
182,Clothing/Accessories,7,12.17376362,73.35,Tue
183,Clothing/Accessories,7,12.17505883,62.72000002,Tue
184,Clothing/Accessories,7,12.17373627,55.95000002,Tue
185,Clothing/Accessories,7,12.17506964,44.15,Tue
186,Clothing/Accessories,7,12.17541445,43.77000001,Tue
187,Clothing/Accessories,7,12.17468227,36.76999999,Tue
188,Clothing/Accessories,7,12.17468227,36.76999999,Tue
189,Clothing/Accessories,7,12.17468227,36.76999999,Tue
190,Clothing/Accessories,7,6.025622492,30.62000001,Tue
191,Clothing/Accessories,5,12.174,81.16000002,Mon
192,Clothing/Accessories,5,12.1737541,75.00999999,Mon
193,Clothing/Accessories,5,12.17419032,73.66000002,Mon
